GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
59,100.7,0.414,0.323,0.773,11.1,33.3,18.7,14.3,-9.8,100.7,110.3,0.515,1.3,14.1,0.461,0.509,0.423
58,100.3,0.414,0.32,0.774,11.0,33.3,18.7,14.5,-9.8,100.3,109.9,0.517,1.3,14.1,0.46,0.508,0.423
30,98.7,0.413,0.317,0.756,10.7,32.9,18.8,14.8,-11.2,98.7,109.9,0.521,1.27,14.2,0.46,0.503,0.418
76,105.3,0.449,0.347,0.755,11.4,32.3,21.0,15.3,-7.7,105.3,112.8,0.532,1.38,15.6,0.501,0.537,0.442
37,105.5,0.445,0.353,0.777,12.0,32.4,20.6,16.0,-6.3,105.5,111.7,0.529,1.29,15.3,0.497,0.539,0.448
21,105.5,0.45,0.346,0.774,11.5,33.3,21.6,16.0,-4.4,105.5,109.9,0.548,1.35,15.9,0.501,0.54,0.46
71,106.1,0.462,0.346,0.708,10.6,34.6,23.2,15.5,-1.6,106.1,107.6,0.578,1.5,17.0,0.518,0.547,0.489
42,103.1,0.454,0.328,0.689,10.9,34.4,22.7,16.2,-3.5,103.1,106.4,0.577,1.41,16.6,0.505,0.533,0.478
32,102.9,0.454,0.329,0.692,10.5,34.4,22.4,16.0,-3.1,102.9,105.7,0.571,1.4,16.5,0.503,0.533,0.481
9,101.1,0.472,0.311,0.721,7.9,35.9,21.7,16.4,-1.4,101.1,102.5,0.552,1.33,16.4,0.513,0.544,0.5
59,107.4,0.474,0.338,0.689,9.7,35.2,24.0,15.4,-1.2,107.4,108.4,0.585,1.56,17.5,0.531,0.557,0.498
32,108.6,0.477,0.345,0.693,9.6,34.7,23.3,15.0,1.7,108.6,106.8,0.56,1.56,17.1,0.537,0.562,0.511
25,108.5,0.476,0.344,0.709,9.5,34.7,22.8,15.0,1.3,108.5,107.0,0.55,1.52,16.8,0.533,0.56,0.508
57,113.1,0.487,0.36,0.725,10.6,35.0,25.8,14.9,7.7,113.1,105.6,0.607,1.73,18.5,0.55,0.579,0.551
53,113.4,0.488,0.363,0.73,10.6,35.1,26.0,15.0,7.3,113.4,106.3,0.611,1.74,18.6,0.552,0.581,0.55
15,110.7,0.48,0.357,0.755,10.1,35.1,26.6,14.9,9.2,110.7,102.2,0.63,1.78,19.0,0.54,0.569,0.559
3,107.5,0.455,0.356,0.763,10.2,33.9,23.4,14.6,6.1,107.5,102.0,0.575,1.6,17.0,0.515,0.547,0.533
26,112.3,0.485,0.371,0.756,9.6,35.8,24.8,15.0,7.8,112.3,104.5,0.59,1.65,18.1,0.55,0.582,0.546
7,115.7,0.496,0.406,0.767,10.0,37.9,25.8,15.3,11.0,115.7,104.5,0.594,1.69,18.7,0.569,0.598,0.56
6,115.8,0.502,0.418,0.772,9.6,37.6,25.9,16.0,10.4,115.8,105.5,0.596,1.62,18.8,0.576,0.605,0.557
