GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
15,109.5,0.471,0.37,0.807,10.5,32.7,22.1,16.1,0.3,109.5,109.4,0.544,1.37,16.3,0.529,0.57,0.487
5,105.7,0.456,0.307,0.83,10.8,30.4,18.7,17.8,-3.6,105.7,109.9,0.475,1.06,14.1,0.505,0.549,0.462
67,106.2,0.462,0.346,0.707,10.7,34.6,23.3,15.5,-1.3,106.2,107.3,0.579,1.51,17.0,0.518,0.547,0.492
29,103.0,0.456,0.328,0.694,10.3,34.5,22.4,16.0,-2.6,103.0,105.2,0.571,1.4,16.5,0.506,0.536,0.487
27,102.4,0.456,0.32,0.703,10.4,34.4,22.3,16.4,-2.9,102.4,105.1,0.568,1.36,16.5,0.504,0.534,0.484
20,101.7,0.457,0.313,0.703,9.7,35.3,21.9,16.4,-1.9,101.7,103.3,0.562,1.33,16.3,0.503,0.534,0.493
78,107.6,0.472,0.334,0.7,9.5,34.9,24.4,15.0,-1.6,107.6,109.0,0.597,1.63,17.8,0.53,0.557,0.495
52,107.5,0.473,0.337,0.69,9.8,35.6,23.6,15.3,0.3,107.5,107.1,0.576,1.54,17.3,0.53,0.556,0.507
47,107.5,0.472,0.336,0.69,9.8,35.8,23.5,15.1,1.0,107.5,106.4,0.574,1.56,17.2,0.529,0.556,0.512
33,108.4,0.478,0.345,0.693,9.5,34.8,23.4,15.0,1.5,108.4,106.9,0.564,1.56,17.2,0.537,0.562,0.511
56,113.2,0.486,0.36,0.726,10.6,35.1,25.8,14.9,7.3,113.2,106.0,0.609,1.73,18.5,0.55,0.579,0.55
50,113.1,0.486,0.361,0.736,10.5,35.0,25.9,14.9,7.1,113.1,106.1,0.609,1.74,18.6,0.549,0.579,0.55
10,107.3,0.472,0.318,0.733,9.4,35.8,25.9,14.3,8.1,107.3,100.0,0.622,1.82,18.6,0.523,0.552,0.554
14,114.9,0.488,0.396,0.757,10.3,38.0,25.6,14.9,11.0,114.9,104.0,0.596,1.72,18.5,0.56,0.589,0.559
